variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
O2,124,120,124,120,25,0.204117,0.192416,1.459945,0.841667,0.475,0.721263,0.752308,2.036026,0.913591,0.24782,0.48,0.65,0.1,0.3,3.5,0.3,7
O3,122,120,122,120,25,0.185705,0.20791,1.474784,0.875,0.466667,0.731651,0.740769,1.798174,0.947851,0.238262,0.48,0.65,0.1,0.3,3.5,0.3,7
ALL,498,481,374,361,75,0.315999,0.430413,1.162259,0.85,0.617729,0.781683,0.727173,1.377728,0.906471,0.275235,0.48,0.65,0.1,0.3,3.5,0.35,8
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.48,0.65,0.1,0.3,3.5,0.35,8
O1,124,120,0,0,0,-0.012329,-0.02221,1.367563,0.833333,,,,,,,0.48,0.65,0.1,0.3,3.5,0.35,8
O2,124,120,124,120,25,0.204117,0.192416,1.459945,0.841667,0.475,0.721263,0.752308,2.036026,0.913591,0.24782,0.48,0.65,0.1,0.3,3.5,0.35,8
O3,122,120,122,120,25,0.185705,0.20791,1.474784,0.875,0.466667,0.731651,0.740769,1.798174,0.947851,0.238262,0.48,0.65,0.1,0.3,3.5,0.35,8
ALL,498,481,374,361,75,0.307164,0.430265,1.164774,0.85,0.612188,0.79246,0.742972,1.389528,0.89005,0.277607,0.48,0.65,0.1,0.35,2.5,0.3,9
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.48,0.65,0.1,0.35,2.5,0.3,9
O1,124,120,0,0,0,-0.01038,-0.017876,1.368289,0.833333,,,,,,,0.48,0.65,0.1,0.35,2.5,0.3,9
O2,124,120,124,120,25,0.179636,0.179151,1.454903,0.841667,0.475,0.730528,0.784615,2.045716,0.884817,0.253808,0.48,0.65,0.1,0.35,2.5,0.3,9
O3,122,120,122,120,25,0.184619,0.20782,1.479975,0.875,0.458333,0.748977,0.75,1.823466,0.95006,0.230392,0.48,0.65,0.1,0.35,2.5,0.3,9
ALL,498,481,374,361,75,0.307213,0.430144,1.164715,0.85,0.612188,0.79246,0.742972,1.389528,0.89005,0.277607,0.48,0.65,0.1,0.35,2.5,0.35,10
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.48,0.65,0.1,0.35,2.5,0.35,10
O1,124,120,0,0,0,-0.01,-0.018994,1.368051,0.833333,,,,,,,0.48,0.65,0.1,0.35,2.5,0.35,10
O2,124,120,124,120,25,0.179636,0.179151,1.454903,0.841667,0.475,0.730528,0.784615,2.045716,0.884817,0.253808,0.48,0.65,0.1,0.35,2.5,0.35,10
O3,122,120,122,120,25,0.184619,0.20782,1.479975,0.875,0.458333,0.748977,0.75,1.823466,0.95006,0.230392,0.48,0.65,0.1,0.35,2.5,0.35,10
ALL,498,481,374,361,75,0.306782,0.429223,1.16546,0.85,0.612188,0.79246,0.742972,1.389528,0.89005,0.277607,0.48,0.65,0.1,0.35,3.5,0.3,11
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.48,0.65,0.1,0.35,3.5,0.3,11
O1,124,120,0,0,0,-0.012379,-0.024911,1.371037,0.833333,,,,,,,0.48,0.65,0.1,0.35,3.5,0.3,11
O2,124,120,124,120,25,0.179636,0.179151,1.454903,0.841667,0.475,0.730528,0.784615,2.045716,0.884817,0.253808,0.48,0.65,0.1,0.35,3.5,0.3,11
O3,122,120,122,120,25,0.184619,0.20782,1.479975,0.875,0.458333,0.748977,0.75,1.823466,0.95006,0.230392,0.48,0.65,0.1,0.35,3.5,0.3,11
ALL,498,481,374,361,75,0.306831,0.429101,1.1654,0.85,0.612188,0.79246,0.742972,1.389528,0.89005,0.277607,0.48,0.65,0.1,0.35,3.5,0.35,12
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.48,0.65,0.1,0.35,3.5,0.35,12
O1,124,120,0,0,0,-0.011999,-0.02603,1.370799,0.833333,,,,,,,0.48,0.65,0.1,0.35,3.5,0.35,12
O2,124,120,124,120,25,0.179636,0.179151,1.454903,0.841667,0.475,0.730528,0.784615,2.045716,0.884817,0.253808,0.48,0.65,0.1,0.35,3.5,0.35,12
O3,122,120,122,120,25,0.184619,0.20782,1.479975,0.875,0.458333,0.748977,0.75,1.823466,0.95006,0.230392,0.48,0.65,0.1,0.35,3.5,0.35,12
