variant,n_runs,n_time_valid,n_score_valid,n_strict_valid,n_repeat_valid,time_corr,time_spearman,time_mae,time_dir_acc,time_band_acc,repeat_corr,repeat_spearman,repeat_mae,score_corr,score_mae,tie_gate_threshold,tie_shrink_power,tie_margin_weight_alpha,min_anchor_quality,anchor_outlier_mad_scale,anchor_outlier_min_delta,combo_index
O2,124,120,124,120,25,0.180378,0.179554,1.451229,0.841667,0.475,0.730638,0.778462,2.03736,0.884824,0.254622,0.48,1.25,0.1,0.35,2.5,0.35,34
O3,122,120,122,120,25,0.185582,0.211091,1.478091,0.875,0.466667,0.749626,0.75,1.819818,0.9502,0.229989,0.48,1.25,0.1,0.35,2.5,0.35,34
ALL,498,481,374,361,75,0.307192,0.429644,1.164695,0.85,0.609418,0.792196,0.738305,1.388388,0.889777,0.278793,0.48,1.25,0.1,0.35,3.5,0.3,35
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.48,1.25,0.1,0.35,3.5,0.3,35
O1,124,120,0,0,0,-0.010743,-0.024231,1.370144,0.833333,,,,,,,0.48,1.25,0.1,0.35,3.5,0.3,35
O2,124,120,124,120,25,0.180378,0.179554,1.451229,0.841667,0.475,0.730638,0.778462,2.03736,0.884824,0.254622,0.48,1.25,0.1,0.35,3.5,0.3,35
O3,122,120,122,120,25,0.185582,0.211091,1.478091,0.875,0.466667,0.749626,0.75,1.819818,0.9502,0.229989,0.48,1.25,0.1,0.35,3.5,0.3,35
ALL,498,481,374,361,75,0.307241,0.429541,1.164635,0.85,0.609418,0.792196,0.738305,1.388388,0.889777,0.278793,0.48,1.25,0.1,0.35,3.5,0.35,36
O0,128,121,128,121,25,,,0.365972,,1.0,,,0.307987,,0.348727,0.48,1.25,0.1,0.35,3.5,0.35,36
O1,124,120,0,0,0,-0.010364,-0.025349,1.369905,0.833333,,,,,,,0.48,1.25,0.1,0.35,3.5,0.35,36
O2,124,120,124,120,25,0.180378,0.179554,1.451229,0.841667,0.475,0.730638,0.778462,2.03736,0.884824,0.254622,0.48,1.25,0.1,0.35,3.5,0.35,36
O3,122,120,122,120,25,0.185582,0.211091,1.478091,0.875,0.466667,0.749626,0.75,1.819818,0.9502,0.229989,0.48,1.25,0.1,0.35,3.5,0.35,36
ALL,498,481,374,361,75,0.317477,0.433017,1.153493,0.85,0.614958,0.790916,0.725839,1.352974,0.904394,0.280237,0.48,1.25,0.55,0.25,2.5,0.3,37
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.48,1.25,0.55,0.25,2.5,0.3,37
O1,124,120,0,0,0,-0.013274,-0.017133,1.358239,0.833333,,,,,,,0.48,1.25,0.55,0.25,2.5,0.3,37
O2,124,120,124,120,25,0.204814,0.199701,1.4434,0.841667,0.475,0.731979,0.756154,1.990158,0.911179,0.255828,0.48,1.25,0.55,0.25,2.5,0.3,37
O3,122,120,122,120,25,0.188987,0.21455,1.46292,0.875,0.466667,0.742193,0.743846,1.763831,0.94453,0.242785,0.48,1.25,0.55,0.25,2.5,0.3,37
ALL,498,481,374,361,75,0.317503,0.432902,1.153857,0.85,0.614958,0.790916,0.725839,1.352974,0.904394,0.280237,0.48,1.25,0.55,0.25,2.5,0.35,38
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.48,1.25,0.55,0.25,2.5,0.35,38
O1,124,120,0,0,0,-0.012513,-0.018251,1.359697,0.833333,,,,,,,0.48,1.25,0.55,0.25,2.5,0.35,38
O2,124,120,124,120,25,0.204814,0.199701,1.4434,0.841667,0.475,0.731979,0.756154,1.990158,0.911179,0.255828,0.48,1.25,0.55,0.25,2.5,0.35,38
O3,122,120,122,120,25,0.188987,0.21455,1.46292,0.875,0.466667,0.742193,0.743846,1.763831,0.94453,0.242785,0.48,1.25,0.55,0.25,2.5,0.35,38
ALL,498,481,374,361,75,0.317341,0.432239,1.153767,0.85,0.614958,0.790916,0.725839,1.352974,0.904394,0.280237,0.48,1.25,0.55,0.25,3.5,0.3,39
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.48,1.25,0.55,0.25,3.5,0.3,39
O1,124,120,0,0,0,-0.014099,-0.022231,1.359336,0.833333,,,,,,,0.48,1.25,0.55,0.25,3.5,0.3,39
O2,124,120,124,120,25,0.204814,0.199701,1.4434,0.841667,0.475,0.731979,0.756154,1.990158,0.911179,0.255828,0.48,1.25,0.55,0.25,3.5,0.3,39
O3,122,120,122,120,25,0.188987,0.21455,1.46292,0.875,0.466667,0.742193,0.743846,1.763831,0.94453,0.242785,0.48,1.25,0.55,0.25,3.5,0.3,39
ALL,498,481,374,361,75,0.317367,0.432124,1.154131,0.85,0.614958,0.790916,0.725839,1.352974,0.904394,0.280237,0.48,1.25,0.55,0.25,3.5,0.35,40
O0,128,121,128,121,25,,,0.356059,,1.0,,,0.304933,,0.33958,0.48,1.25,0.55,0.25,3.5,0.35,40
O1,124,120,0,0,0,-0.013336,-0.023349,1.360794,0.833333,,,,,,,0.48,1.25,0.55,0.25,3.5,0.35,40
O2,124,120,124,120,25,0.204814,0.199701,1.4434,0.841667,0.475,0.731979,0.756154,1.990158,0.911179,0.255828,0.48,1.25,0.55,0.25,3.5,0.35,40
O3,122,120,122,120,25,0.188987,0.21455,1.46292,0.875,0.466667,0.742193,0.743846,1.763831,0.94453,0.242785,0.48,1.25,0.55,0.25,3.5,0.35,40
ALL,498,481,374,361,75,0.31721,0.432569,1.158254,0.85,0.614958,0.781145,0.723143,1.375945,0.905189,0.280037,0.48,1.25,0.55,0.3,2.5,0.3,41
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.48,1.25,0.55,0.3,2.5,0.3,41
O1,124,120,0,0,0,-0.010541,-0.014758,1.362965,0.833333,,,,,,,0.48,1.25,0.55,0.3,2.5,0.3,41
O2,124,120,124,120,25,0.206937,0.199083,1.451144,0.841667,0.475,0.721019,0.749231,2.02733,0.912099,0.254512,0.48,1.25,0.55,0.3,2.5,0.3,41
O3,122,120,122,120,25,0.188149,0.211786,1.468984,0.875,0.466667,0.732208,0.740769,1.792937,0.946406,0.243204,0.48,1.25,0.55,0.3,2.5,0.3,41
ALL,498,481,374,361,75,0.317226,0.432477,1.158823,0.85,0.614958,0.781145,0.723143,1.375945,0.905189,0.280037,0.48,1.25,0.55,0.3,2.5,0.35,42
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.48,1.25,0.55,0.3,2.5,0.35,42
O1,124,120,0,0,0,-0.009611,-0.015494,1.365246,0.833333,,,,,,,0.48,1.25,0.55,0.3,2.5,0.35,42
O2,124,120,124,120,25,0.206937,0.199083,1.451144,0.841667,0.475,0.721019,0.749231,2.02733,0.912099,0.254512,0.48,1.25,0.55,0.3,2.5,0.35,42
O3,122,120,122,120,25,0.188149,0.211786,1.468984,0.875,0.466667,0.732208,0.740769,1.792937,0.946406,0.243204,0.48,1.25,0.55,0.3,2.5,0.35,42
ALL,498,481,374,361,75,0.317074,0.431792,1.158528,0.85,0.614958,0.781145,0.723143,1.375945,0.905189,0.280037,0.48,1.25,0.55,0.3,3.5,0.3,43
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.48,1.25,0.55,0.3,3.5,0.3,43
O1,124,120,0,0,0,-0.01136,-0.019647,1.364062,0.833333,,,,,,,0.48,1.25,0.55,0.3,3.5,0.3,43
O2,124,120,124,120,25,0.206937,0.199083,1.451144,0.841667,0.475,0.721019,0.749231,2.02733,0.912099,0.254512,0.48,1.25,0.55,0.3,3.5,0.3,43
O3,122,120,122,120,25,0.188149,0.211786,1.468984,0.875,0.466667,0.732208,0.740769,1.792937,0.946406,0.243204,0.48,1.25,0.55,0.3,3.5,0.3,43
ALL,498,481,374,361,75,0.31709,0.431699,1.159097,0.85,0.614958,0.781145,0.723143,1.375945,0.905189,0.280037,0.48,1.25,0.55,0.3,3.5,0.35,44
O0,128,121,128,121,25,,,0.356604,,1.0,,,0.307569,,0.339871,0.48,1.25,0.55,0.3,3.5,0.35,44
O1,124,120,0,0,0,-0.010428,-0.020383,1.366343,0.833333,,,,,,,0.48,1.25,0.55,0.3,3.5,0.35,44
O2,124,120,124,120,25,0.206937,0.199083,1.451144,0.841667,0.475,0.721019,0.749231,2.02733,0.912099,0.254512,0.48,1.25,0.55,0.3,3.5,0.35,44
O3,122,120,122,120,25,0.188149,0.211786,1.468984,0.875,0.466667,0.732208,0.740769,1.792937,0.946406,0.243204,0.48,1.25,0.55,0.3,3.5,0.35,44
ALL,498,481,374,361,75,0.308054,0.431552,1.161967,0.85,0.609418,0.792196,0.738305,1.388388,0.888751,0.282317,0.48,1.25,0.55,0.35,2.5,0.3,45
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.48,1.25,0.55,0.35,2.5,0.3,45
O1,124,120,0,0,0,-0.009754,-0.017904,1.36835,0.833333,,,,,,,0.48,1.25,0.55,0.35,2.5,0.3,45
O2,124,120,124,120,25,0.182327,0.185693,1.446265,0.841667,0.475,0.730638,0.778462,2.03736,0.883344,0.26021,0.48,1.25,0.55,0.35,2.5,0.3,45
O3,122,120,122,120,25,0.187219,0.212904,1.474155,0.875,0.466667,0.749626,0.75,1.819818,0.94859,0.235347,0.48,1.25,0.55,0.35,2.5,0.3,45
ALL,498,481,374,361,75,0.308103,0.431425,1.161907,0.85,0.609418,0.792196,0.738305,1.388388,0.888751,0.282317,0.48,1.25,0.55,0.35,2.5,0.35,46
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.48,1.25,0.55,0.35,2.5,0.35,46
O1,124,120,0,0,0,-0.009375,-0.019022,1.368112,0.833333,,,,,,,0.48,1.25,0.55,0.35,2.5,0.35,46
O2,124,120,124,120,25,0.182327,0.185693,1.446265,0.841667,0.475,0.730638,0.778462,2.03736,0.883344,0.26021,0.48,1.25,0.55,0.35,2.5,0.35,46
O3,122,120,122,120,25,0.187219,0.212904,1.474155,0.875,0.466667,0.749626,0.75,1.819818,0.94859,0.235347,0.48,1.25,0.55,0.35,2.5,0.35,46
ALL,498,481,374,361,75,0.307918,0.430693,1.16224,0.85,0.609418,0.792196,0.738305,1.388388,0.888751,0.282317,0.48,1.25,0.55,0.35,3.5,0.3,47
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.48,1.25,0.55,0.35,3.5,0.3,47
O1,124,120,0,0,0,-0.010574,-0.023092,1.369447,0.833333,,,,,,,0.48,1.25,0.55,0.35,3.5,0.3,47
O2,124,120,124,120,25,0.182327,0.185693,1.446265,0.841667,0.475,0.730638,0.778462,2.03736,0.883344,0.26021,0.48,1.25,0.55,0.35,3.5,0.3,47
O3,122,120,122,120,25,0.187219,0.212904,1.474155,0.875,0.466667,0.749626,0.75,1.819818,0.94859,0.235347,0.48,1.25,0.55,0.35,3.5,0.3,47
ALL,498,481,374,361,75,0.307967,0.430567,1.162181,0.85,0.609418,0.792196,0.738305,1.388388,0.888751,0.282317,0.48,1.25,0.55,0.35,3.5,0.35,48
O0,128,121,128,121,25,,,0.365732,,1.0,,,0.307987,,0.3485,0.48,1.25,0.55,0.35,3.5,0.35,48
O1,124,120,0,0,0,-0.010195,-0.02421,1.369209,0.833333,,,,,,,0.48,1.25,0.55,0.35,3.5,0.35,48
O2,124,120,124,120,25,0.182327,0.185693,1.446265,0.841667,0.475,0.730638,0.778462,2.03736,0.883344,0.26021,0.48,1.25,0.55,0.35,3.5,0.35,48
O3,122,120,122,120,25,0.187219,0.212904,1.474155,0.875,0.466667,0.749626,0.75,1.819818,0.94859,0.235347,0.48,1.25,0.55,0.35,3.5,0.35,48
ALL,498,481,374,361,75,0.316542,0.431553,1.155101,0.85,0.617729,0.791225,0.729028,1.355864,0.905726,0.275105,0.55,0.65,0.1,0.25,2.5,0.3,49
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.55,0.65,0.1,0.25,2.5,0.3,49
O1,124,120,0,0,0,-0.013698,-0.015314,1.35245,0.833333,,,,,,,0.55,0.65,0.1,0.25,2.5,0.3,49
O2,124,120,124,120,25,0.202228,0.192965,1.452431,0.841667,0.475,0.73205,0.759231,1.999899,0.912764,0.249155,0.55,0.65,0.1,0.25,2.5,0.3,49
O3,122,120,122,120,25,0.186209,0.208389,1.469267,0.875,0.466667,0.741262,0.74,1.771347,0.94607,0.23679,0.55,0.65,0.1,0.25,2.5,0.3,49
ALL,498,481,374,361,75,0.31682,0.431705,1.155771,0.85,0.617729,0.791225,0.729028,1.355864,0.905726,0.275105,0.55,0.65,0.1,0.25,2.5,0.35,50
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.55,0.65,0.1,0.25,2.5,0.35,50
O1,124,120,0,0,0,-0.01184,-0.014959,1.355136,0.833333,,,,,,,0.55,0.65,0.1,0.25,2.5,0.35,50
O2,124,120,124,120,25,0.202228,0.192965,1.452431,0.841667,0.475,0.73205,0.759231,1.999899,0.912764,0.249155,0.55,0.65,0.1,0.25,2.5,0.35,50
O3,122,120,122,120,25,0.186209,0.208389,1.469267,0.875,0.466667,0.741262,0.74,1.771347,0.94607,0.23679,0.55,0.65,0.1,0.25,2.5,0.35,50
ALL,498,481,374,361,75,0.316157,0.43061,1.155786,0.85,0.617729,0.791225,0.729028,1.355864,0.905726,0.275105,0.55,0.65,0.1,0.25,3.5,0.3,51
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.55,0.65,0.1,0.25,3.5,0.3,51
O1,124,120,0,0,0,-0.015708,-0.022356,1.355198,0.833333,,,,,,,0.55,0.65,0.1,0.25,3.5,0.3,51
O2,124,120,124,120,25,0.202228,0.192965,1.452431,0.841667,0.475,0.73205,0.759231,1.999899,0.912764,0.249155,0.55,0.65,0.1,0.25,3.5,0.3,51
O3,122,120,122,120,25,0.186209,0.208389,1.469267,0.875,0.466667,0.741262,0.74,1.771347,0.94607,0.23679,0.55,0.65,0.1,0.25,3.5,0.3,51
ALL,498,481,374,361,75,0.316435,0.430761,1.156457,0.85,0.617729,0.791225,0.729028,1.355864,0.905726,0.275105,0.55,0.65,0.1,0.25,3.5,0.35,52
O0,128,121,128,121,25,,,0.35294,,1.0,,,0.296346,,0.336763,0.55,0.65,0.1,0.25,3.5,0.35,52
O1,124,120,0,0,0,-0.013847,-0.022002,1.357884,0.833333,,,,,,,0.55,0.65,0.1,0.25,3.5,0.35,52
O2,124,120,124,120,25,0.202228,0.192965,1.452431,0.841667,0.475,0.73205,0.759231,1.999899,0.912764,0.249155,0.55,0.65,0.1,0.25,3.5,0.35,52
O3,122,120,122,120,25,0.186209,0.208389,1.469267,0.875,0.466667,0.741262,0.74,1.771347,0.94607,0.23679,0.55,0.65,0.1,0.25,3.5,0.35,52
ALL,498,481,374,361,75,0.316309,0.43148,1.15957,0.85,0.617729,0.781683,0.727173,1.377728,0.906466,0.275262,0.55,0.65,0.1,0.3,2.5,0.3,53
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.55,0.65,0.1,0.3,2.5,0.3,53
O1,124,120,0,0,0,-0.011064,-0.01223,1.356701,0.833333,,,,,,,0.55,0.65,0.1,0.3,2.5,0.3,53
O2,124,120,124,120,25,0.204295,0.192249,1.459957,0.841667,0.475,0.721263,0.752308,2.036026,0.913574,0.248241,0.55,0.65,0.1,0.3,2.5,0.3,53
O3,122,120,122,120,25,0.185547,0.207744,1.474856,0.875,0.466667,0.731651,0.740769,1.798174,0.947855,0.237916,0.55,0.65,0.1,0.3,2.5,0.3,53
ALL,498,481,374,361,75,0.316575,0.431641,1.160453,0.85,0.617729,0.781683,0.727173,1.377728,0.906466,0.275262,0.55,0.65,0.1,0.3,2.5,0.35,54
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.55,0.65,0.1,0.3,2.5,0.35,54
O1,124,120,0,0,0,-0.009038,-0.011848,1.36024,0.833333,,,,,,,0.55,0.65,0.1,0.3,2.5,0.35,54
O2,124,120,124,120,25,0.204295,0.192249,1.459957,0.841667,0.475,0.721263,0.752308,2.036026,0.913574,0.248241,0.55,0.65,0.1,0.3,2.5,0.35,54
O3,122,120,122,120,25,0.185547,0.207744,1.474856,0.875,0.466667,0.731651,0.740769,1.798174,0.947855,0.237916,0.55,0.65,0.1,0.3,2.5,0.35,54
ALL,498,481,374,361,75,0.315924,0.43053,1.160256,0.85,0.617729,0.781683,0.727173,1.377728,0.906466,0.275262,0.55,0.65,0.1,0.3,3.5,0.3,55
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.55,0.65,0.1,0.3,3.5,0.3,55
O1,124,120,0,0,0,-0.013061,-0.019189,1.359449,0.833333,,,,,,,0.55,0.65,0.1,0.3,3.5,0.3,55
O2,124,120,124,120,25,0.204295,0.192249,1.459957,0.841667,0.475,0.721263,0.752308,2.036026,0.913574,0.248241,0.55,0.65,0.1,0.3,3.5,0.3,55
O3,122,120,122,120,25,0.185547,0.207744,1.474856,0.875,0.466667,0.731651,0.740769,1.798174,0.947855,0.237916,0.55,0.65,0.1,0.3,3.5,0.3,55
ALL,498,481,374,361,75,0.316191,0.430691,1.161139,0.85,0.617729,0.781683,0.727173,1.377728,0.906466,0.275262,0.55,0.65,0.1,0.3,3.5,0.35,56
O0,128,121,128,121,25,,,0.353485,,1.0,,,0.298984,,0.337035,0.55,0.65,0.1,0.3,3.5,0.35,56
O1,124,120,0,0,0,-0.01103,-0.018807,1.362988,0.833333,,,,,,,0.55,0.65,0.1,0.3,3.5,0.35,56
O2,124,120,124,120,25,0.204295,0.192249,1.459957,0.841667,0.475,0.721263,0.752308,2.036026,0.913574,0.248241,0.55,0.65,0.1,0.3,3.5,0.35,56
O3,122,120,122,120,25,0.185547,0.207744,1.474856,0.875,0.466667,0.731651,0.740769,1.798174,0.947855,0.237916,0.55,0.65,0.1,0.3,3.5,0.35,56
ALL,498,481,374,361,75,0.307095,0.430303,1.16337,0.85,0.612188,0.79246,0.742972,1.389528,0.890044,0.277634,0.55,0.65,0.1,0.35,2.5,0.3,57
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.55,0.65,0.1,0.35,2.5,0.3,57
O1,124,120,0,0,0,-0.010205,-0.015591,1.362576,0.833333,,,,,,,0.55,0.65,0.1,0.35,2.5,0.3,57
O2,124,120,124,120,25,0.179811,0.178985,1.454916,0.841667,0.475,0.730528,0.784615,2.045716,0.884797,0.254229,0.55,0.65,0.1,0.35,2.5,0.3,57
O3,122,120,122,120,25,0.18446,0.207653,1.480048,0.875,0.458333,0.748977,0.75,1.823466,0.950064,0.230047,0.55,0.65,0.1,0.35,2.5,0.3,57
ALL,498,481,374,361,75,0.307394,0.430421,1.16361,0.85,0.612188,0.79246,0.742972,1.389528,0.890044,0.277634,0.55,0.65,0.1,0.35,2.5,0.35,58
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.55,0.65,0.1,0.35,2.5,0.35,58
O1,124,120,0,0,0,-0.008741,-0.015591,1.363537,0.833333,,,,,,,0.55,0.65,0.1,0.35,2.5,0.35,58
O2,124,120,124,120,25,0.179811,0.178985,1.454916,0.841667,0.475,0.730528,0.784615,2.045716,0.884797,0.254229,0.55,0.65,0.1,0.35,2.5,0.35,58
O3,122,120,122,120,25,0.18446,0.207653,1.480048,0.875,0.458333,0.748977,0.75,1.823466,0.950064,0.230047,0.55,0.65,0.1,0.35,2.5,0.35,58
ALL,498,481,374,361,75,0.306713,0.429261,1.164056,0.85,0.612188,0.79246,0.742972,1.389528,0.890044,0.277634,0.55,0.65,0.1,0.35,3.5,0.3,59
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.55,0.65,0.1,0.35,3.5,0.3,59
O1,124,120,0,0,0,-0.012204,-0.022627,1.365324,0.833333,,,,,,,0.55,0.65,0.1,0.35,3.5,0.3,59
O2,124,120,124,120,25,0.179811,0.178985,1.454916,0.841667,0.475,0.730528,0.784615,2.045716,0.884797,0.254229,0.55,0.65,0.1,0.35,3.5,0.3,59
O3,122,120,122,120,25,0.18446,0.207653,1.480048,0.875,0.458333,0.748977,0.75,1.823466,0.950064,0.230047,0.55,0.65,0.1,0.35,3.5,0.3,59
ALL,498,481,374,361,75,0.307011,0.429379,1.164295,0.85,0.612188,0.79246,0.742972,1.389528,0.890044,0.277634,0.55,0.65,0.1,0.35,3.5,0.35,60
O0,128,121,128,121,25,,,0.362614,,1.0,,,0.299402,,0.345664,0.55,0.65,0.1,0.35,3.5,0.35,60
O1,124,120,0,0,0,-0.01074,-0.022627,1.366285,0.833333,,,,,,,0.55,0.65,0.1,0.35,3.5,0.35,60
O2,124,120,124,120,25,0.179811,0.178985,1.454916,0.841667,0.475,0.730528,0.784615,2.045716,0.884797,0.254229,0.55,0.65,0.1,0.35,3.5,0.35,60
O3,122,120,122,120,25,0.18446,0.207653,1.480048,0.875,0.458333,0.748977,0.75,1.823466,0.950064,0.230047,0.55,0.65,0.1,0.35,3.5,0.35,60
ALL,498,481,374,361,75,0.317266,0.432428,1.152695,0.85,0.617729,0.791226,0.729028,1.355865,0.904726,0.278443,0.55,0.65,0.55,0.25,2.5,0.3,61
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.55,0.65,0.55,0.25,2.5,0.3,61
O1,124,120,0,0,0,-0.013327,-0.015293,1.351842,0.833333,,,,,,,0.55,0.65,0.55,0.25,2.5,0.3,61
O2,124,120,124,120,25,0.204136,0.199264,1.447498,0.841667,0.475,0.732051,0.759231,1.999896,0.911282,0.254259,0.55,0.65,0.55,0.25,2.5,0.3,61
O3,122,120,122,120,25,0.187825,0.210515,1.465397,0.875,0.466667,0.741262,0.74,1.771354,0.944492,0.242063,0.55,0.65,0.55,0.25,2.5,0.3,61
ALL,498,481,374,361,75,0.317544,0.432574,1.153365,0.85,0.617729,0.791226,0.729028,1.355865,0.904726,0.278443,0.55,0.65,0.55,0.25,2.5,0.35,62
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.55,0.65,0.55,0.25,2.5,0.35,62
O1,124,120,0,0,0,-0.01147,-0.014939,1.354529,0.833333,,,,,,,0.55,0.65,0.55,0.25,2.5,0.35,62
O2,124,120,124,120,25,0.204136,0.199264,1.447498,0.841667,0.475,0.732051,0.759231,1.999896,0.911282,0.254259,0.55,0.65,0.55,0.25,2.5,0.35,62
O3,122,120,122,120,25,0.187825,0.210515,1.465397,0.875,0.466667,0.741262,0.74,1.771354,0.944492,0.242063,0.55,0.65,0.55,0.25,2.5,0.35,62
ALL,498,481,374,361,75,0.316882,0.431508,1.153377,0.85,0.617729,0.791226,0.729028,1.355865,0.904726,0.278443,0.55,0.65,0.55,0.25,3.5,0.3,63
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.55,0.65,0.55,0.25,3.5,0.3,63
O1,124,120,0,0,0,-0.015326,-0.022335,1.354575,0.833333,,,,,,,0.55,0.65,0.55,0.25,3.5,0.3,63
O2,124,120,124,120,25,0.204136,0.199264,1.447498,0.841667,0.475,0.732051,0.759231,1.999896,0.911282,0.254259,0.55,0.65,0.55,0.25,3.5,0.3,63
O3,122,120,122,120,25,0.187825,0.210515,1.465397,0.875,0.466667,0.741262,0.74,1.771354,0.944492,0.242063,0.55,0.65,0.55,0.25,3.5,0.3,63
ALL,498,481,374,361,75,0.31716,0.431654,1.154047,0.85,0.617729,0.791226,0.729028,1.355865,0.904726,0.278443,0.55,0.65,0.55,0.25,3.5,0.35,64
O0,128,121,128,121,25,,,0.35271,,1.0,,,0.296346,,0.336545,0.55,0.65,0.55,0.25,3.5,0.35,64
O1,124,120,0,0,0,-0.013466,-0.021981,1.357261,0.833333,,,,,,,0.55,0.65,0.55,0.25,3.5,0.35,64
O2,124,120,124,120,25,0.204136,0.199264,1.447498,0.841667,0.475,0.732051,0.759231,1.999896,0.911282,0.254259,0.55,0.65,0.55,0.25,3.5,0.35,64
O3,122,120,122,120,25,0.187825,0.210515,1.465397,0.875,0.466667,0.741262,0.74,1.771354,0.944492,0.242063,0.55,0.65,0.55,0.25,3.5,0.35,64
ALL,498,481,374,361,75,0.31703,0.432279,1.157163,0.85,0.617729,0.781683,0.727173,1.377728,0.905469,0.278599,0.55,0.65,0.55,0.3,2.5,0.3,65
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.55,0.65,0.55,0.3,2.5,0.3,65
O1,124,120,0,0,0,-0.010694,-0.012209,1.356088,0.833333,,,,,,,0.55,0.65,0.55,0.3,2.5,0.3,65
O2,124,120,124,120,25,0.206188,0.198646,1.455026,0.841667,0.475,0.721263,0.752308,2.036026,0.912116,0.253345,0.55,0.65,0.55,0.3,2.5,0.3,65
O3,122,120,122,120,25,0.187157,0.209626,1.470984,0.875,0.466667,0.731651,0.740769,1.798174,0.946283,0.243188,0.55,0.65,0.55,0.3,2.5,0.3,65
ALL,498,481,374,361,75,0.317296,0.43244,1.158046,0.85,0.617729,0.781683,0.727173,1.377728,0.905469,0.278599,0.55,0.65,0.55,0.3,2.5,0.35,66
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.55,0.65,0.55,0.3,2.5,0.35,66
O1,124,120,0,0,0,-0.00867,-0.011827,1.359627,0.833333,,,,,,,0.55,0.65,0.55,0.3,2.5,0.35,66
O2,124,120,124,120,25,0.206188,0.198646,1.455026,0.841667,0.475,0.721263,0.752308,2.036026,0.912116,0.253345,0.55,0.65,0.55,0.3,2.5,0.35,66
O3,122,120,122,120,25,0.187157,0.209626,1.470984,0.875,0.466667,0.731651,0.740769,1.798174,0.946283,0.243188,0.55,0.65,0.55,0.3,2.5,0.35,66
ALL,498,481,374,361,75,0.316647,0.431352,1.157845,0.85,0.617729,0.781683,0.727173,1.377728,0.905469,0.278599,0.55,0.65,0.55,0.3,3.5,0.3,67
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.55,0.65,0.55,0.3,3.5,0.3,67
O1,124,120,0,0,0,-0.012679,-0.019168,1.358821,0.833333,,,,,,,0.55,0.65,0.55,0.3,3.5,0.3,67
O2,124,120,124,120,25,0.206188,0.198646,1.455026,0.841667,0.475,0.721263,0.752308,2.036026,0.912116,0.253345,0.55,0.65,0.55,0.3,3.5,0.3,67
O3,122,120,122,120,25,0.187157,0.209626,1.470984,0.875,0.466667,0.731651,0.740769,1.798174,0.946283,0.243188,0.55,0.65,0.55,0.3,3.5,0.3,67
ALL,498,481,374,361,75,0.316914,0.431513,1.158728,0.85,0.617729,0.781683,0.727173,1.377728,0.905469,0.278599,0.55,0.65,0.55,0.3,3.5,0.35,68
O0,128,121,128,121,25,,,0.353255,,1.0,,,0.298984,,0.336817,0.55,0.65,0.55,0.3,3.5,0.35,68
O1,124,120,0,0,0,-0.01065,-0.018786,1.36236,0.833333,,,,,,,0.55,0.65,0.55,0.3,3.5,0.35,68
O2,124,120,124,120,25,0.206188,0.198646,1.455026,0.841667,0.475,0.721263,0.752308,2.036026,0.912116,0.253345,0.55,0.65,0.55,0.3,3.5,0.35,68
O3,122,120,122,120,25,0.187157,0.209626,1.470984,0.875,0.466667,0.731651,0.740769,1.798174,0.946283,0.243188,0.55,0.65,0.55,0.3,3.5,0.35,68
ALL,498,481,374,361,75,0.30782,0.431,1.160922,0.85,0.612188,0.79246,0.742972,1.389528,0.889033,0.280959,0.55,0.65,0.55,0.35,2.5,0.3,69
O0,128,121,128,121,25,,,0.362375,,1.0,,,0.299402,,0.345439,0.55,0.65,0.55,0.35,2.5,0.3,69
